StudyDescription	Modality	platform	frequency
XR Chest AP or PA	CR, PR, DX, XR, CT, MR, CR,DX, nan	IDC,TCIA,AIMI,NIHCC,MIDRC	428198
NLST-LSS	SR, CT, SEG	IDC	48544
NLST-ACRIN	SR, CT, SEG	IDC	24569
Histopathology	SR, ANN, SEG, SM	IDC	17045
CHEST AP PORT	CR, DX, nan	IDC,TCIA,MIDRC	12732
CHEST PORT 1 VIEW (RAD)-CS	CR, CR,DX, DX	MIDRC	7341
MAMMO screening digital bilateral	MG, nan	IDC,TCIA	6752
CHEST AP VIEWONLY	CR, DX, nan	IDC,TCIA,MIDRC	5297
3D Rendering	US, nan	IDC,TCIA	3416
Simulated DBT Projection	MG	IDC	2994
Simulated Digital Mammography	MG	IDC	2994
DBT Reconstructed Volume	MG, nan	IDC,TCIA	2765
NCI PDMR Tumor Characterization	SR, MR, nan	IDC,TCIA	2554
Chest	CR, DX, CT, nan	IDC,TCIA,MIDRC	2165
BrainTumor	MR, SEG, nan	IDC,TCIA	2108
MAMMO SCREENING DIGITAL BILATERAL	MG, nan	IDC,TCIA	1922
BRAIN W/O CONTRAST (CT)-CS	CT	MIDRC	1640
CHEST PA & LATERAL (RAD)-CS	CR, CR,DX, DX	MIDRC	1559
CT CHEST WO CONTRAST	RTSTRUCT, CT, SEG, nan	IDC,TCIA,MIDRC	1390
CHEST 1 VIEW	CR, DX	MIDRC	1303
MRI BREASTS - Delayed contrast	MR, SEG, nan	IDC,TCIA	1264
Portable Chest	CR	MIDRC	1239
CT CHEST WITH CONTRAST	CT, SEG, nan	IDC,TCIA,MIDRC	1235
CT CHEST W CONTRAST	CT, SEG, nan	IDC,TCIA,MIDRC	1216
CT Coronary Angio with Contrast	CT	AIMI	1207
p4	CT, nan	IDC,TCIA	1174
MR PROSTATE WO+W CONTRAST	SEG, nan	IDC,TCIA	1082
CTA CHEST (PE STUDY) W CONTRAST	CT	MIDRC	1018
CT CHEST PULMONARY EMBOLISM (CTPE)	CT, nan	IDC,TCIA,MIDRC	1011
BRAIN^ROUTINE	MR, SEG, nan	IDC,TCIA	982
MAMMO SCREEN BREAST TOMOSYNTHESIS BILATERAL	MG, nan	IDC,TCIA	970
CT CHEST WITHOUT CONTRAST	CT, nan	IDC,TCIA,MIDRC	925
MRI BREAST BILATERAL W/WO	MR, SEG, nan	IDC,TCIA	882
MAMMO diagnostic digital bilateral	MG, nan	IDC,TCIA	872
Standard Screening - TomoHD	MG, nan	IDC,TCIA,ACRdart	800
ACRIN-6698_ISPY2_MRI_T0	MR, SEG, nan	IDC,TCIA	770
CT	RTSTRUCT, CT, nan	IDC,TCIA	764
MRI PROSTATE W WO CONTRAST	MR, SEG, nan	IDC,TCIA	762
CT CHEST ANGIOGRAM AND PULMONARY ARTERIES WITH IV CONTRAST	CT	MIDRC	739
CT HEAD WO CONTRAST	CT	MIDRC	717
ISPY2_MRI_T0	MR, SEG	IDC	717
PET-CT STUDY	CT, PT, nan	IDC,TCIA	716
CHEST-SINGLE VIEW (RAD)-CS	CR, DX	MIDRC	707
ISPY2_MRI_T1	MR, SEG	IDC	690
CHEST AP PORT CENTRAL LINE PL	CR, DX, nan	IDC,TCIA,MIDRC	654
ISPY2_MRI_T2	MR, SEG	IDC	647
ISPY2_MRI_T3	MR, SEG	IDC	634
BRAIN^SPECTROSCOPY	MR, SEG, nan	IDC,TCIA	598
Chest 2V	CR	MIDRC	593
CT CHEST WO IV CONT	CT, nan	IDC,TCIA,MIDRC	554
CT CHEST WO	CT	MIDRC	527
ACRIN-6698_ISPY2_MRI_T1	MR, SEG, nan	IDC,TCIA	516
CHEST W/O CONTRAST (CT)-CS	CT	MIDRC	513
Chest Portable	CR, DX	MIDRC	494
X-RAY CHEST SINGLE VIEW	CR, DX	MIDRC	486
ACRIN-6698_ISPY2_MRI_T2	MR, SEG, nan	IDC,TCIA	486
Thorax^CTD_01_TH_ROUTINE_NEU (Adult)	CT, SEG, nan	IDC,TCIA	476
BRAIN^BRAIN	MR, SEG, nan	IDC,TCIA,MIDRC	475
ACRIN-6698_ISPY2_MRI_T3	MR, SEG, nan	IDC,TCIA	474
CHEST AP PORTABLE	CR, nan	IDC,TCIA,MIDRC	465
FLAT PLATE OF ABDOMEN PORTABLE	CR, DX, nan	IDC,TCIA,MIDRC	461
BRAIN^BRAIN TUMOR	MR, SEG, nan	IDC,TCIA	456
XR ABDOMEN 1 VIEW	CR, DX	MIDRC	446
Vascular^PE_STUDY (Adult)	CT	MIDRC	432
CT CHEST ABDOMEN PELVIS W CONTRAST (ROUTINE)	CT	MIDRC	406
CT CORONARY ANGIOGRAPHY W AND WO IV CONTRAST	CT	AIMI	398
MRI BREAST BILATERAL W + W/O	MR, SEG, nan	IDC,TCIA	384
BREAST PRONE	MR, SEG, nan	IDC,TCIA	382
CT CHEST PULMONARY ANGIO WITH IV CON	CT, nan	IDC,TCIA,MIDRC	366
Head^HEAD (Adult)	CT	MIDRC	358
CT ABD AND PELVIS WITH IV CONT	CT, nan	IDC,TCIA,MIDRC	358
MR HEAD W AND WO IV CONTRAST	MR, SEG, nan	IDC,TCIA	350
MR prostaat kanker detectie WDS_mc MCAPRODETW	MR, SEG, nan	IDC,TCIA	346
CT CHEST ABDOMEN PELVIS W	CT, nan	IDC,TCIA,MIDRC	345
MR HEAD W AND WO IV CONTRAST TUMOR NEW	MR, SEG, nan	IDC,TCIA	342
Chest Single View Adult Portable	CR, DX	MIDRC	314
Avanto RoutineImage Guidance	RTDOSE, RTSTRUCT, RTPLAN, MR, nan	IDC,TCIA	304
MR BREAS, UNIT	MR, SEG, nan	IDC,TCIA	289
CT CHEST PULMONARY EMBOLISM W CONTRAST	CT, SEG, nan	IDC,TCIA,MIDRC	284
Breast^Screen	MR	ACRdart,IDC	279
CT ABDOMEN PELVIS W CONTRAST (ROUTINE)	CT	MIDRC	278
MR BREASTUNI UE	MR, SEG, nan	IDC,TCIA	273
CT ABD AND PELVIS WO IV CONT	CT, nan	IDC,TCIA,MIDRC	271
CT LUNG SCREEN	CT, SEG, nan	IDC,TCIA	270
Preinvasive mammary neoplasia	MR, nan	IDC,TCIA	264
RX SIMULATION	RTSTRUCT, CT, nan	IDC,TCIA	262
CT CHEST W	CT, SEG, nan	IDC,TCIA,MIDRC	259
CHEST, PA & LATERAL	DX, nan	IDC,TCIA	256
CT_CAP	CT, nan	IDC,TCIA	254
MRI BREAST ABBREVIATED - RESEARCH	MR	ACRdart,IDC	254
MR prostaat kanker detectie_mc MCAPRODET	MR, SEG, nan	IDC,TCIA	254
MAM MAMMOGRAPHY SCREENING WITH TOMOSYNTHESIS	MG	ACRdart,IDC	251
Thorax^CT_PE (Adult)	CT	MIDRC	242
Breast	US	ACRdart	241
MRI BREAST BILAT WO/W CONTRAST	MR	ACRdart,IDC	239
CHEST PORTABLE AP	CR, DX	MIDRC	238
CT THORAX W/CONTRAST	CT, SEG, nan	IDC,TCIA	236
CT CHEST HIGH RESOLUTION	CT, nan	IDC,TCIA,MIDRC	232
CHEST 1V	CR, nan	IDC,TCIA,MIDRC	229
Pelvic Cavity CT Routine+Enhanced	CT, nan	IDC,TCIA	210
CT CHEST PULMONARY EMB	CT	MIDRC	209
CT CHEST WITHOUT IV CONTRAST	CT, nan	IDC,TCIA,MIDRC	209
CHEST 2 VIEWS	CR, DX	MIDRC	209
X-RAY CHEST FRONTAL AND LATERAL	CR, DX	MIDRC	203
MRI BREAST BILATERAL W WO CONTRAST	MR	ACRdart,IDC	202
