study_modality	study_description	Freq
CT	THORAX/ABDOMEN/PELVIS, CONT	14
CT	THORAX PE, LOW DOSE	5
CT,NM	LUNG PERFU SION IMAGING	3
CT	THORAX, CONT	3
CT,PT	PET CT FDG IMAG SKULL TO THIGH	3
MR	MRI ABD WWO IV CONT	2
DX	XR CHEST PA ONLY	2
DX	XR ACUTE ABDOMINAL SERIES W PA CHEST PORTABLE	2
CT,OT,PT	PET CT FDG IMAG SKULL TO THIGH	2
CR	ABD UPRT VIEWONLY	2
SR	CT CHEST WO IV CONT	2
CR	CODE T CHEST AP PORTABLE	2
CT	CT CHEST(SEE AB/PEL) W IV CON	1
CR	TRAUMA CHEST AP PORTABLE	1
CT,NM	PULMONARY PERFU SION	1
CT,NM	TUMOR LOCALWHOLE BODY SINGLE	1
CR	CHEST ROUTINE PA/AP AND LATERAL	1
DX	ABD UPRT VIEWONLY	1
CR	CHEST OVER PENETRATED PA AP PORTABLE	1
CR	CHEST AP INFANT PORTABLE	1
MR	MRI ABD WO IV CONT	1
CR	ABDOMEN SERIES FLAT AND ERECT PORTABLE	1
MR	MRI MRCP	1
CR	ABD SUPINE LATERAL	1
