study_descriptions,modality,body_part_examined
Adult Chest - 1 View,DX,CHEST
C/A/P 3 PHASE IP,CT,ABDOMEN
C/A/P ER,CT,CHEST
C/A/P IP,CT,CHEST
C/A/P IP 3D PANC,CT,
C/A/P IP ADRENAL,CT,
C/A/P OP,CT,ABDOMEN
C/A/P OP 3PHAZ,CT,ABDOMEN
C/A/P OP TAVAR,CT,AORTA
C/A/P W/O IP,CT,
C/AP WO OP,CT,CHEST
CAP 3D LIVER,CT,
CAP COMBO IP,CT,ABDOMEN
CAP ER,CT,CHEST
CAP ER TRAUMA,CT,
CAP IP,CT,CHEST
CAP IV IP,CT,CHEST
CAP IV OP,CT,CHEST
CAP OP,CT,CHEST
CAP PLAIN ER,CT,
CAP TRIPLE IP,CT,ABDOMEN
CAP W/O IP,CT,CHEST
CARDIAC IP,CT,HEART
CARDIAC OP,CT,HEART
CARDIAC PUL VEIN OP,CT,HEART
CARDIAC PV OP,CT,HEART
CARDIAC TRIPLE RULE OUT OP,CT,HEART
Chest,DX,CHEST
CHEST 1 VIEW PORTABLE,CR,CHEST
CHEST IP,CT,
CHEST IP IV,CT,
CHEST IV IP,CT,CHEST
CHEST OP,CT,
CHEST OP CARDIAC,CT,HEART
CHEST OP CARDIAC/PVEIN,CT,HEART
CHEST PA,CR,CHEST
CHEST PA AND LAT,DX,CHEST
CHEST PA/LT,CR,CHEST
Chest PA+LAT,DX,CHEST
CHEST PE IP,CT,CHEST
CHEST PE OP,CT,CHEST
CHEST PULMONARY WITH,CT,
CHEST WITH(Adult),CT,CHEST
CHEST WO ER,CT,
CHEST WO IP,CT,
CHEST WO OP,CT,
"CHEST, LAT DECUB LT",CR,CHEST
"CHEST, PA AND LAT",CR,CHEST
"CHEST,SINGLE VIEW",CR,CHEST
CHEST/ABD-PEL 3PHASE IP,CT,ABDOMEN
CHEST/ABD-PEL IV ER,CT,
CHEST/ABD-PEL IV IP,CT,CHEST
CHEST/ABD-PEL W/WO IP,CT,ABDOMEN
CHEST/PELVIS OP,CT,
CR Chest - 2 Views **,CR,CHEST
CT ABDOMEN PELVIS W CO,CT,
CT ABDOMEN PELVIS W CONTRAST,CT,ABDOMEN
CT ANGIOGRAM HEAD NECK W CONTRAST,CT,
CT ANGIOGRAM HEART CORONARY ARTERIES WITH CONTRAST,CT,HEART
CT CAP IP,CT,
CT CAP W CONTRAST,CT,
CT CAP W/ WT lOSS OP,CT,
CT CHEST   W/O 71250,CT,CHEST
CT CHEST ABDOMEN PELVI,CT,
CT CHEST ABDOMEN PELVIS W CONTRAST,CT,ABDOMEN
CT CHEST ABDOMEN PELVIS W WO CONTRAST,CT,ABDOMEN
CT CHEST ABDOMEN PELVIS WO CONTRAST,CT,ABDOMEN
CT CHEST LUNG CANCER S,CT,
CT CHEST LUNG CANCER SCREENING WITHOUT CONTRAST ANNUAL,CT,CHEST
CT CHEST PULMONARY EMB,CT,
CT CHEST PULMONARY EMBOLISM W CONTRAST,CT,ABDOMEN
CT CHEST W CON,CT,CHEST
CT CHEST W CONTRAST,CT,CHEST
CT CHEST W CONTRAST IP,CT,
CT CHEST W CONTRAST OP,CT,
CT CHEST W IVCON,CT,
CT Chest W WO,CT,
CT CHEST WITH CONT,CT,
CT CHEST WO CONTRAST,CT,CHEST
CT CHEST WO CONTRAST IP,CT,
CT CHEST WO CONTRAST OP,CT,
"CT CHEST, ABDOMEN & PELVIS  W/ 74177,71260,Q9967",CT,CHEST
CT CHEST/ABDOMEN/PELVIS W/CONTRAST,CT,ABDOMEN
CT GUIDED BIOPSY LUNG MEDIASTINUM,CT,
CT HEART W CONTRAST 3D CONGENITAL HEART DISEASE,CT,HEART
CT PULM VEIN OP,CT,HEART
CT Thorax w/o Contrast,CT,
CTA MICS IP,CT,ABDOMEN
CTSTNECK CHEST ABDOMEN PELVIS W WO CONTRAST,CT,ABDOMEN
CXR,DX,CHEST
DR Chest PORTABLE,CR,CHEST
DX CHEST SINGLE VIEW AP OR PA,CR,CHEST
e+1 ct chest abdomen pelvis with contrast,CT,
e+1 CT Chest Without Contrast,CT,CHEST
JCCI CAP ENHANCED,CT,ABDOMEN
JCCI CAP TRIPLE,CT,
JCCI CHEST COMB,CT,
JCCI CHEST WITHOUT,CT,
JCCI CHEST WO,CT,
JCCI CHEST/PEL,CT,
JCCI CT ABD/PEL,CT,ABDOMEN
JCCI CT C/A/P,CT,ABDOMEN
JCCI CT CAP COMB,CT,ABDOMEN
